,Name,cid,sdf,Name_db,SMILES_db,cid_db,sdf_db
0,Glycolic Acid O-P,,,,,,
1,Glycerol-3-phosphate,,,,,,
2,Glycerol-2-phospate,,,,,,
3,phosphoenolpyruvate,,,,,,
4,D-threonate-4-phosphate,,,,,,
5,D-erythronate-4-phosphate,,,,,,
6,L-erythronate-4-phosphate,,,,,,
7,D-ribonate-5-phosphate,,,,,,
8,D-arabinonate-5-phosphate,,,,,,
9,D-2-deoxy-ribonate-5-phosphate,,,,,,
10,D-lyxonate-5-phosphate,,,,,,
11,D-xylonate-3-phosphate,,,,,,
12,L-Ribonate-5-phosphate,,,,,,
13,L-arabinonate-5-phosphate,,,,,,
14,D-xylonate-5-phosphate,,,,,,
15,L-xylonate-3-phosphate,,,,,,
16,L-xylonate-5-phosphate,,,,,,
17,2-keto-3-deoxy-6-phospho-gluconate (KDPG),,,,,,
18,D-galactonate-6-phosphate,,,,,,
19,2'-deoxy-6-phosphogluconate,,,,,,
20,D-mannonate-6-phosphate,,,,,,
21,D-allonate-6-phosphate,,,,,,
22,D-3-deoxy-gluconate-6-phosphate,,,,,,
23,D-altronate-6-phosphate,,,,,,
24,D-gluconate-3-phosphate,,,,,,
25,D-allonate-3-phosphate,,,,,,
26,D-glucuronic acid-5-phosphate,,,,,,
27,D-glucurononate-5-phosphate,,,,,,
28,L-gluconate-3-phosphate,,,,,,
29,L-gulonic acid-2-methylene hydroxy phosphoric acid,,,,,,
30,2-deoxy-D-manno-2-octoulosonate-8-phosphate,,,,,,
31,2-keto-3-deoxy-D-glycero-D-galactonononic acid 9-phosphate,,,,,,
32,N-acetylneuraminic acid-9-phosphate,,,,,,
33,Glycerol-phosphate,,,,,,
34,meso-erythritol-4-phosphate,,,,,,
35,D-threitol-4-phosphate,,,,,,
36,D-ribitol-5-phosphate,,,,,,
37,D-xylitol-5-phosphate,,,,,,
38,D-2-deoxy-ribitol-5-phosphate,,,,,,
39,D-arabitol-5-phosphate,,,,,,
40,D-xylitol-3-phosphate,,,,,,
41,L-Ribitol-5-phosphate,,,,,,
42,L-arabitol-5-phosphate,,,,,,
43,L-arabitol-1-phosphate,,,,,,
44,L-xylitol-3-phosphate,,,,,,
45,L-xylitol-5-phosphate,,,,,,
46,L-lyxitol-5-phosphate,,,,,,
47,D-arabitol-1-phosphate,,,,,,
48,D-arabitol-4-phosphate,,,,,,
49,2'-deoxy-6-phosphoglucitol,,,,,,
50,D-sorbitol-1-phosphate,,,,,,
