,Name,SMILES,cid,molecular_formula,sdf
0,1-Napthyl acetate,CC(=O)OC1=CC=CC2=CC=CC=C21,13247,C12H10O2,13247.sdf
1,1-Naphthyl butyrate,CCCC(=O)OC1=CC=CC2=CC=CC=C21,76571,C14H14O2,76571.sdf
2,Glyceryl triacetate,CC(=O)OCC(COC(=O)C)OC(=O)C ,5541,C9H14O6,5541.sdf
3,Glyceryl tripropionate, CCC(=O)OCC(COC(=O)CC)OC(=O)CC ,8763,C12H20O6,8763.sdf
4,Glyceryl tributyrate,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,6050,C15H26O6,6050.sdf
5,Glyceryl trioctanoate,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC ,10850,C27H50O6,10850.sdf
6,Triolein,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,31207,C57H104O6,31207.sdf
7,Hexyl acetate,CCCCCCOC(=O)C,8908,C8H16O2,8908.sdf
8,Octyl acetate,CCCCCCCCOC(=O)C,8164,C10H20O2,8164.sdf
9,Dodecanoyl acetate,CCCCCCCCCCCCOC(=O)C,8205,C14H28O2,8205.sdf
10,Pentadecyl acetate ,CCCCCCCCCCCCCCCOC(=O)C ,522077,C17H34O2,522077.sdf
11,Ethyl acetate,CCOC(=O)C ,8857,C4H8O2,8857.sdf
12,Ethyl propionate,CCC(=O)OCC ,7749,C5H10O2,7749.sdf
13,Ethyl butyrate,CCCC(=O)OCC,7762,C6H12O2,7762.sdf
14,Ethyl hexanoate,CCCCCC(=O)OCC,31265,C8H16O2,31265.sdf
15,Ethyl octanoate,CCCCCCCC(=O)OCC,7799,C10H20O2,7799.sdf
16,Ethyl decanoate,CCCCCCCCCC(=O)OCC ,8048,C12H24O2,8048.sdf
17,Ethyl dodecanoate,CCCCCCCCCCCC(=O)OCC,7800,C14H28O2,7800.sdf
18,Ethyl myristate,CCCCCCCCCCCCCC(=O)OCC ,31283,C16H32O2,31283.sdf
19,Ethyl benzoate,CCOC(=O)C1=CC=CC=C1 ,7165,C9H10O2,7165.sdf
20,(1R)-(-)-Menthyl acetate,C[C@@H]1CCC(C(C1)OC(=O)C)C(C)C,12732529,C12H22O2,12732529.sdf
21,(1S)-(+)-Menthyl acetate,C[C@H]1CCC(C(C1)OC(=O)C)C(C)C,12732528,C12H22O2,12732528.sdf
22,N-Benzyl-L-proline ethyl ester,CCOC(=O)[C@@H]1CCCN1CC2=CC=CC=C2,688177,C14H19NO2,688177.sdf
23,N-Benzyl-D-proline ethyl ester,CCOC(=O)[C@H]1CCCN1CC2=CC=CC=C2,688176,C14H19NO2,688176.sdf
