,Name,SMILES,cid,molecular_formula,sdf
0,Baicalein,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,5281605,C15H10O5,5281605.sdf
1,Umbelliferone,C1=CC(=CC2=C1C=CC(=O)O2)O,5281426,C9H6O3,5281426.sdf
2,4-Methyl-umbelliferone,CC1=CC(=O)OC2=C1C=CC(=C2)O,5280567,C10H8O3,5280567.sdf
3,Sinapic acid,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)O,637775,C11H12O5,637775.sdf
4,4-hydroxyl-benzoic acid,C1=CC(=CC=C1C(=O)O)O,135,C7H6O3,135.sdf
5,a-cyano-4-hydroxyl-cinamic acid,C1=CC(=CC=C1/C=C(\C#N)/C(=O)O)O,5328791,C10H7NO3,5328791.sdf
6,"3,4-dichloroaniline",C1=CC(=C(C=C1N)Cl)Cl,7257,C6H5Cl2N,7257.sdf
7,"3,4-dihydroxylbenzoic acid",C1=CC(=C(C=C1C(=O)O)O)O,72,C7H6O4,72.sdf
8," 2,5-dihydroxylbenzoic acid",C1=CC(=C(C=C1O)C(=O)O)O,3469,C7H6O4,3469.sdf
9, D-glycerate,C([C@H](C(=O)[O-])O)O,5460358,C3H5O4-,5460358.sdf
10, GlcNAc,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O,439174,C8H15NO6,439174.sdf
11, Indole 3-acetate,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,802,C10H9NO2,802.sdf
12, Gibberellin A3,C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O,6466,C19H22O6,6466.sdf
13, Gibberellin A4,C[C@@]12[C@H](CC[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@H](C4)C(=C)C5)C(=O)O)OC2=O)O,92109,C19H24O5,92109.sdf
14, (?)-Jasmonic acid,CC/C=C\C[C@@H]1[C@H](CCC1=O)CC(=O)O,5281166,C12H18O3,5281166.sdf
15," (?)- cis, trans Abscisic acid",CC1=CC(=O)CC([C@]1(/C=C/C(=CC(=O)O)C)O)(C)C,131954763,C15H20O4,131954763.sdf
16, Kinetin,C1=COC(=C1)CNC2=NC=NC3=C2NC=N3,3830,C10H9N5O,3830.sdf
17,Zeatin,C/C(=C\CNC1=NC=NC2=C1NC=N2)/CO,449093,C10H13N5O,449093.sdf
18,Luteolin,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,5280445,C15H10O6,5280445.sdf
19,Quercetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,5280343,C15H10O7,5280343.sdf
20, Fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,5281614,C15H10O6,5281614.sdf
21, Kaempferol,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,5280863,C15H10O6,5280863.sdf
22,Cinnamic acid,C1=CC=C(C=C1)/C=C/C(=O)O,444539,C9H8O2,444539.sdf
23,4-hydroxy cinnamic acid,C1=CC(=CC=C1/C=C/C(=O)O)O,637542,C9H8O3,637542.sdf
24,"3,4-dihyroxy cinnamic acid",C1=CC(=C(C=C1/C=C/C(=O)O)O)O,689043,C9H8O4,689043.sdf
25,4-hydroxy 3-methoxy cinnamic acid,COC1=C(C=CC(=C1)C=CC(=O)O)O,709,C10H10O4,709.sdf
26,2-hydroxy cinnamic acid,C1=CC=C(C(=C1)C=CC(=O)O)O,11968,C9H8O3,11968.sdf
27,3-hydroxy cinnamic acid,C1=CC(=CC(=C1)O)/C=C/C(=O)O,637541,C9H8O3,637541.sdf
28,7-hydroxy 6-methoxy coumarin (Scopoletin),COC1=C(C=C2C(=C1)C=CC(=O)O2)O,5280460,C10H8O4,5280460.sdf
29,"6,7-dihydroxy coumarin (Esculetin)",C1=CC(=O)OC2=CC(=C(C=C21)O)O,5281416,C9H6O4,5281416.sdf
30,Threonine,C[C@H]([C@@H](C(=O)O)N)O,6288,C4H9NO3,6288.sdf
31,Glucose,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,5793,C6H12O6,5793.sdf
32,Dihydrojasmonic acid,CCCCCC1C(CCC1=O)CC(=O)O,107126,C12H20O3,107126.sdf
33,Ser-Phe,C1=CC=C(C=C1)C[C@@H](C(=O)O)NC(=O)[C@H](CO)N,7009598,C12H16N2O4,7009598.sdf
34,Ser-Leu,CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](CO)N,7015695,C9H18N2O4,7015695.sdf
35,BocCysThrOMe,CC(C(C(=O)OC)NC(=O)C(CS)NC(=O)OC(C)(C)C)O,85960764,C13H24N2O6S,85960764.sdf
36,1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1SCC#N)CO)O)O,101926211,C10H16N2O5S,101926211.sdf
37,MUGlcNAc,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)C,2733787,C18H21NO8,2733787.sdf
38,Trans-dihydroquercetin (DHQ),C1=CC(=C(C=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,439533,C15H12O7,439533.sdf
39,7-hydroxycoumerin 3-carboxylic acid,C1=CC2=C(C=C1O)OC(=O)C(=C2)C(=O)O,5337757,C10H6O5,5337757.sdf
40,7-hydroxycoumerin 4-acetic acid,C1=CC2=C(C=C1O)OC(=O)C=C2CC(=O)O,5338490,C11H8O5,5338490.sdf
41,Chloramphenicol,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],5959,C11H12Cl2N2O5,5959.sdf
42,?-GlcOBn,C1=CC=C(C=C1)CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,188977,C13H18O6,188977.sdf
43,a-ManOBn,C1=CC=C(C=C1)CO[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,10956572,C13H18O6,10956572.sdf
44,a-ManOPh,C1=CC=C(C=C1)O[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,89049,C12H16O6,89049.sdf
45,a-ManOCH2Bn,C1=CC=C(C=C1)CCO[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,49855777,C14H20O6,49855777.sdf
46,a-ManOPMP,COC1=CC=C(C=C1)O[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,18396036,C13H18O7,18396036.sdf
47,a-ManOBn(pNO2),C1=CC(=CC=C1CO[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)[N+](=O)[O-],10781615,C13H17NO8,10781615.sdf
48,a-ManOPhF5,C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)OC2=C(C(=C(C(=C2F)F)F)F)F)O)O)O)O,132555975,C12H11F5O6,132555975.sdf
49,ManSTol,CC1=CC=C(C=C1)S[C@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,11161970,C13H18O5S,11161970.sdf
50,Catechin,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064,C15H14O6,9064.sdf
51,Genistein,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,5280961,C15H10O5,5280961.sdf
52,N6-Benzyladenine,C1=CC=C(C=C1)CNC2=NC=NC3=C2NC=N3,62389,C12H11N5,62389.sdf
53,Trans-Zentin-Glucose,C/C(=C\CNC1=NC=NC2=C1NC=N2)/CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,5461146,C16H23N5O6,5461146.sdf
54,DihydroZeatin,CC(CCNC1=NC=NC2=C1NC=N2)CO,32021,C10H15N5O,32021.sdf
55,Olomoucine,CN1C=NC2=C(N=C(N=C21)NCCO)NCC3=CC=CC=C3,4592,C15H18N6O,4592.sdf
56,N6-isopentenyladenine,CC(=CCNC1=NC=NC2=C1NC=N2)C,92180,C10H13N5,92180.sdf
57,Spectinomycin,C[C@@H]1CC(=O)[C@]2([C@@H](O1)O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H]([C@H]3O2)NC)O)NC)O)O,15541,C14H24N2O7,15541.sdf
