,Name,SMILES,cid,molecular_formula,sdf
0,Glycolic Acid O-P,C(C(=O)O)OP(=O)(O)O,529,C2H5O6P,529.sdf
1,Glycerol-3-phosphate,C([C@H](C(=O)O)O)OP(=O)(O)O,439183,C3H7O7P,439183.sdf
2,Glycerol-2-phospate,C([C@@H](C(=O)O)OP(=O)(O)O)O,447550,C3H7O7P,447550.sdf
3,phosphoenolpyruvate,C=C(C(=O)O)OP(=O)(O)O,1005,C3H5O6P,1005.sdf
4,D-threonate-4-phosphate,C([C@H]([C@@H](C(=O)O)O)O)OP(=O)(O)O,11629889,C4H9O8P,11629889.sdf
5,D-erythronate-4-phosphate,C([C@H]([C@H](C(=O)O)O)O)OP(=O)(O)O,449304,C4H9O8P,449304.sdf
6,L-erythronate-4-phosphate,C([C@@H]([C@H](C(=O)O)O)O)OP(=O)(O)O,446947,C4H9O8P,446947.sdf
7,D-ribonate-5-phosphate,C([C@H]([C@H]([C@H](C(=O)O)O)O)O)OP(=O)(O)O,24832028,C5H11O9P,24832028.sdf
8,D-arabinonate-5-phosphate,C([C@H]([C@H]([C@@H](C(=O)O)O)O)O)OP(=O)(O)O,191445,C5H11O9P,191445.sdf
9,D-2-deoxy-ribonate-5-phosphate,C([C@@H]([C@@H](COP(=O)(O)O)O)O)C(=O)O,129668258,C5H11O8P,129668258.sdf
10,D-lyxonate-5-phosphate,C([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)OP(=O)(O)O,46936563,C5H11O9P,46936563.sdf
11,D-xylonate-3-phosphate,O=C(O)[C@H](O)[C@@H](OP(=O)(O)O)[C@H](O)CO,0,C5H11O9P,G11.sdf
12,L-Ribonate-5-phosphate,C([C@@H]([C@@H]([C@@H](C(=O)O)O)O)O)OP(=O)(O)O,49799769,C5H11O9P,49799769.sdf
13,L-arabinonate-5-phosphate,C([C@@H]([C@@H]([C@H](C(=O)O)O)O)O)OP(=O)(O)O,126843503,C5H11O9P,126843503.sdf
14,D-xylonate-5-phosphate,C([C@H]([C@@H]([C@H](C(=O)O)O)O)O)OP(=O)(O)O,126843497,C5H11O9P,126843497.sdf
15,L-xylonate-3-phosphate,O=C(O)[C@H](O)[C@H](OP(=O)(O)O)[C@@H](O)CO,0,C5H11O9P,G15.sdf
16,L-xylonate-5-phosphate,C([C@@H]([C@H]([C@@H](C(=O)O)O)O)O)OP(=O)(O)O,92286299,C5H11O9P,92286299.sdf
17,2-keto-3-deoxy-6-phospho-gluconate (KDPG),C([C@@H]([C@@H](COP(=O)(O)O)O)O)C(=O)C(=O)O,3080745,C6H11O9P,3080745.sdf
18,D-galactonate-6-phosphate,C([C@H]([C@@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O,22820300,C6H13O10P,22820300.sdf
19,2'-deoxy-6-phosphogluconate,C([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)C(=O)O,188314,C6H13O9P,188314.sdf
20,D-mannonate-6-phosphate,C([C@H]([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O)OP(=O)(O)O,6326748,C6H13O10P,6326748.sdf
21,D-allonate-6-phosphate,C([C@H]([C@H]([C@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O,25322874,C6H13O10P,25322874.sdf
22,D-3-deoxy-gluconate-6-phosphate,C([C@@H]([C@@H](COP(=O)(O)O)O)O)[C@H](C(=O)O)O,53931396,C6H13O9P,53931396.sdf
23,D-altronate-6-phosphate,O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,0,C6H13O10P,G23.sdf
24,D-gluconate-3-phosphate,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)OP(=O)(O)O)O)O)O,53917847,C6H13O10P,53917847.sdf
25,D-allonate-3-phosphate,O=C(O)[C@H](O)[C@@H](OP(=O)(O)O)[C@H](O)[C@H](O)CO,0,C6H13O10P,G25.sdf
26,D-glucuronic acid-5-phosphate,O=C[C@H](O)[C@@H](O)[C@H](O)[C@@H](OP(=O)(O)O)C(=O)O,0,C6H11O10P,G26.sdf
27,D-glucurononate-5-phosphate,O=C(O)[C@@H](OP(=O)(O)O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,0,C6H11O11P,G27.sdf
28,L-gluconate-3-phosphate,O=C(O)[C@@H](O)[C@H](OP(=O)(O)O)[C@@H](O)[C@@H](O)CO,0,C6H13O10P,G28.sdf
29,L-gulonic acid-2-methylene hydroxy phosphoric acid,O=C1O[C@H]([C@H](O)CO)[C@H](O)[C@@]1(O)COP(=O)(O)O,0,C7H13O10P,G29.sdf
30,2-deoxy-D-manno-2-octoulosonate-8-phosphate,C1[C@H]([C@H]([C@H](O[C@]1(C(=O)O)O)[C@@H](COP(=O)(O)O)O)O)O,4369556,C8H15O11P,4369556.sdf
31,2-keto-3-deoxy-D-glycero-D-galactonononic acid 9-phosphate,C1[C@@H]([C@H]([C@@H](O[C@@]1(C(=O)O)O)[C@@H]([C@@H](COP(=O)(O)O)O)O)O)O,90658186,C9H17O12P,90658186.sdf
32,N-acetylneuraminic acid-9-phosphate,CC(=O)N[C@@H]1[C@H](CC(O[C@H]1[C@@H]([C@@H](COP(=O)(O)O)O)O)(C(=O)O)O)O,440962,C11H20NO12P,440962.sdf
33,Glycerol-phosphate,C([C@@H](COP(=O)(O)O)O)O,439276,C3H9O6P,439276.sdf
34,meso-erythritol-4-phosphate,C([C@@H]([C@@H](COP(=O)(O)O)O)O)O,192838,C4H11O7P,192838.sdf
35,D-threitol-4-phosphate,C([C@H]([C@@H](COP(=O)(O)O)O)O)O,440028,C4H11O7P,440028.sdf
36,D-ribitol-5-phosphate,C([C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O,151104,C5H13O8P,151104.sdf
37,D-xylitol-5-phosphate,C([C@@H]([C@H]([C@@H](COP(=O)(O)O)O)O)O)O,6420179,C5H13O8P,6420179.sdf
38,D-2-deoxy-ribitol-5-phosphate,C(CO)[C@@H]([C@@H](COP(=O)(O)O)O)O,5288577,C5H13O7P,5288577.sdf
39,D-arabitol-5-phosphate,C([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O,5287584,C5H13O8P,5287584.sdf
40,D-xylitol-3-phosphate,C([C@H](C([C@H](CO)O)OP(=O)(O)O)O)O,129710438,C5H13O8P,129710438.sdf
41,L-Ribitol-5-phosphate,C([C@H]([C@H]([C@H](COP(=O)(O)O)O)O)O)O,23615570,C5H13O8P,23615570.sdf
42,L-arabitol-5-phosphate,C([C@@H]([C@H]([C@H](COP(=O)(O)O)O)O)O)O,16126798,C5H13O8P,16126798.sdf
43,L-arabitol-1-phosphate,O=P(O)(O)OC[C@H](O)[C@@H](O)[C@@H](O)CO,0,C5H13O8P,G43.sdf
44,L-xylitol-3-phosphate,O=P(O)(O)OC([C@@H](O)CO)[C@@H](O)CO,0,C5H13O8P,G44.sdf
45,L-xylitol-5-phosphate,C([C@H]([C@@H]([C@H](COP(=O)(O)O)O)O)O)O,448027,C5H13O8P,448027.sdf
46,L-lyxitol-5-phosphate,O=P(O)(O)OC[C@H](O)[C@@H](O)[C@@H](O)CO,0,C5H13O8P,G46.sdf
47,D-arabitol-1-phosphate,C([C@H]([C@H]([C@@H](COP(=O)(O)O)O)O)O)O,439840,C5H13O8P,439840.sdf
48,D-arabitol-4-phosphate,C([C@H]([C@@H]([C@@H](CO)OP(=O)(O)O)O)O)O,140436183,C5H13O8P,140436183.sdf
49,2'-deoxy-6-phosphoglucitol,C(CO)[C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O,49866901,C6H15O8P,49866901.sdf
50,D-sorbitol-1-phosphate,C([C@H]([C@H]([C@@H]([C@H](COP(=O)(O)O)O)O)O)O)O,21968234,C6H15O9P,21968234.sdf
51,D-mannitol-6-phosphate,C([C@H]([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O)O,130418,C6H15O9P,130418.sdf
52,D-allitol-6-phosphate,C([C@@H]([C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O)O,92209470,C6H15O9P,92209470.sdf
53,D-galactitol-6-phosphate,C([C@@H]([C@H]([C@H]([C@@H](COP(=O)(O)O)O)O)O)O)O,53827506,C6H15O9P,53827506.sdf
54,D-3'-deoxy-sorbitol-6-phosphate,O=P(O)(O)OC[C@@H](O)[C@@H](O)C[C@@H](O)CO,0,C6H15O8P,G54.sdf
55,D-iditol-6-phosphate,C([C@H]([C@@H]([C@H]([C@@H](COP(=O)(O)O)O)O)O)O)O,14620017,C6H15O9P,14620017.sdf
56,D-glucitol-3-phosphate,C([C@H]([C@H]([C@@H]([C@H](CO)O)OP(=O)(O)O)O)O)O,129544,C6H15O9P,129544.sdf
57,D-allitol-3-phosphate,O=P(O)(O)O[C@H]([C@@H](O)CO)[C@H](O)[C@H](O)CO,0,C6H15O9P,G57.sdf
58,D-mannitol-2-phosphate,C([C@H]([C@H]([C@@H]([C@@H](CO)OP(=O)(O)O)O)O)O)O,145809584,C6H15O9P,145809584.sdf
59,D-glucuronicitol-5-phosphate,O=C(O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H](O)[C@@H](O)CO,0,C6H13O10P,G59.sdf
60,D-glucitol-2-phosphate,O=P(O)(O)O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H](O)CO,0,C6H15O9P,G60.sdf
61,L-glucitol-3-phosphate,O=P(O)(O)O[C@H]([C@@H](O)[C@@H](O)CO)[C@H](O)CO,0,C6H15O9P,G61.sdf
62,D-galactitol-1-phosphate,C([C@H]([C@@H]([C@@H]([C@H](COP(=O)(O)O)O)O)O)O)O,440969,C6H15O9P,440969.sdf
63,D-galactitol-5-phosphate,O=P(O)(O)O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)CO,0,C6H15O9P,G63.sdf
