,Name,SMILES,cid,molecular_formula,sdf
0,Propionitrile,N#Cc1ccc(N)cc1,13396,C7H6N2,13396.sdf
1,Valeronitrile,N#CCc1ccc([N+](=O)[O-])cc1,68386,C8H6N2O2,68386.sdf
2,Acrylonitrile,CN(C)c1ccc(C#N)cc1,70967,C9H10N2,70967.sdf
3,2-methylglutaronitrile,N#Cc1ccc(Cl)cc1,12163,C7H4ClN,12163.sdf
4,Cyclohexancarbonitrile,N#Cc1c(Cl)cccc1Cl,3031,C7H3Cl2N,3031.sdf
5,Benzonitrile,N#Cc1ccccc1N,72913,C7H6N2,72913.sdf
6,2-Aminobenzonitrile,COc1ccc(C#N)cc1,70129,C8H7NO,70129.sdf
7,4-aminobenzonitrile,N#C/C=C/c1ccccc1,1550846,C9H7N,1550846.sdf
8,4-chlorobenzonitrile,N#CCCc1ccccc1,12581,C9H9N,12581.sdf
9,"2,6-Dichlorobenzonitrile",N#CC1CCCCC1,69834,C7H11N,69834.sdf
10,4-methoxybenzonitrile,C[C@@H](C#N)CCC#N,5324674,C6H8N2,5324674.sdf
11,4-(dimethylamino)benzonitrile,C[C@@H](C#N)c1ccccc1,6999906,C9H9N,6999906.sdf
12,4-hydroxybenzonitrile,CCCCC#N,8061,C5H9N,8061.sdf
13,Isophthalonitrile,N#Cc1cccc(C#N)c1,12276,C8H4N2,12276.sdf
14,3-phenylpropionitrile,N#Cc1ccc(O)cc1,13019,C7H5NO,13019.sdf
15,4-nitrophenylacetonitrile,CCC#N,7854,C3H5N,7854.sdf
16,a-methylbenzyl cyanide,N#CCC(=O)c1ccccc1,64799,C9H7NO,64799.sdf
17,benzoylacetonitrile,N#C[C@H](O)c1ccccc1,9548674,C8H7NO,9548674.sdf
18,cinnamonitrile,N#Cc1ccccc1,7505,C7H5N,7505.sdf
19,mandelonitrile,C=CC#N,7855,C3H3N,7855.sdf
