,Name,Name_db,SMILES_db,cid_db,sdf_db
0,dehydrocarnitine,,,439773,
1,beta-ketoglutarate,,,68328,
2,(S)-KAH,,,440077,
3,beta-ketoadipate,,,93,
4,"3,5-dioxohexanoate",,,5459844,
5,beta-ketohexanoate,,,439658,
6,beta-ketoisocaproate,,,440024,
7,beta-ketododecanoate,,,439717,
8,5-hydroxy-beta-ketohexanoate,,,22023099,
9,beta-ketopentanoate,,,439684,
10,benzoylacetate,,,97045,
11,(E)-beta-ketohex-4-enoate,,,54058734,
12,beta-ketooctanoate,,,5282982,
13,7-methyl-beta-ketooct-6-enoate,,,13093115,
14,6-acetamido-beta-ketohexanoate,,,440086,
15,2-formamidobenzoylacetate,,,440807,
16,4-hydroxybenzoylacetate,,,14496584,
