,Name,SMILES,cid,sdf,Name_db,SMILES_db,cid_db,sdf_db
0,1-Napthyl acetate,CC(=O)OC1=CC=CC2=CC=CC=C21,13247,13247.sdf,,,,
1,1-Naphthyl butyrate,CCCC(=O)OC1=CC=CC2=CC=CC=C21,76571,76571.sdf,,,,
2,Glyceryl triacetate,CC(=O)OCC(COC(=O)C)OC(=O)C ,5541,5541.sdf,,,,
3,Glyceryl tripropionate, CCC(=O)OCC(COC(=O)CC)OC(=O)CC ,8763,8763.sdf,,,,
4,Glyceryl tributyrate,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,6050,6050.sdf,,,,
5,Glyceryl trioctanoate,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC ,10850,,,,,10850.sdf
6,Triolein,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,31207,,,,,31207.sdf
7,Hexyl acetate,CCCCCCOC(=O)C,8908,8908.sdf,,,,
8,Octyl acetate,CCCCCCCCOC(=O)C,8164,8164.sdf,,,,
9,Dodecanoyl acetate,CCCCCCCCCCCCOC(=O)C,8205,8205.sdf,,,,
10,Pentadecyl acetate ,CCCCCCCCCCCCCCCOC(=O)C ,522077,522077.sdf,,,,
11,Ethyl acetate,CCOC(=O)C ,8857,8857.sdf,,,,
12,Ethyl propionate,CCC(=O)OCC ,7749,7749.sdf,,,,
13,Ethyl butyrate,CCCC(=O)OCC,7762,7762.sdf,,,,
14,Ethyl hexanoate,CCCCCC(=O)OCC,31265,31265.sdf,,,,
15,Ethyl octanoate,CCCCCCCC(=O)OCC,7799,7799.sdf,,,,
16,Ethyl decanoate,CCCCCCCCCC(=O)OCC ,8048,8048.sdf,,,,
17,Ethyl dodecanoate,CCCCCCCCCCCC(=O)OCC,7800,7800.sdf,,,,
18,Ethyl myristate,CCCCCCCCCCCCCC(=O)OCC ,31283,31283.sdf,,,,
