,Substrate,Name_efi,fuzz_ratio,fuzz_partial_ratio,human_curation
0,Glycolic Acid-O-P,Glycolic Acid O-P,Glycolic Acid O-P,Glycolic Acid O-P,
1,3-phosphoglyceric acid (glycerol 3 phosphate),Glycerol-3-phosphate,DL-glyceraldehyde-3-phosphate,Glycerol-3-phosphate,
2,2-phosphoglyceric acid (glycerol 2-phosphate),Glycerol-2-phospate,D-glucuronic acid-5-phosphate,Glycerol-2-phospate,
3,Phospho(enol)pyruvic acid (PEP),phosphoenolpyruvate,phosphoenolpyruvate,phosphoenolpyruvate,
4,D-threonate-4-phosphate,D-threonate-4-phosphate,D-threonate-4-phosphate,D-threonate-4-phosphate,
5,D-erythronate-4-phosphate,D-erythronate-4-phosphate,D-erythronate-4-phosphate,D-erythronate-4-phosphate,
6,L-erythronate-4-phosphate,L-erythronate-4-phosphate,L-erythronate-4-phosphate,L-erythronate-4-phosphate,
7,D-Ribonate-5-phosphate,D-ribonate-5-phosphate,D-ribonate-5-phosphate,D-ribonate-5-phosphate,
8,D-Arabinonate-5-phosphate,D-arabinonate-5-phosphate,D-arabinonate-5-phosphate,D-arabinonate-5-phosphate,
9,D-2-deoxy-Ribonate-5-phosphate,D-2-deoxy-ribonate-5-phosphate,D-2-deoxy-ribonate-5-phosphate,D-2-deoxy-ribonate-5-phosphate,
10,D-Lyxonate-5-phosphate,D-lyxonate-5-phosphate,D-lyxonate-5-phosphate,D-lyxonate-5-phosphate,
11,D-Xylonate-3-phosphate,D-xylonate-3-phosphate,D-xylonate-3-phosphate,D-xylonate-3-phosphate,
12,L-Ribonate-5-phosphate    ,L-Ribonate-5-phosphate,L-Ribonate-5-phosphate,L-Ribonate-5-phosphate,
13,L-Arabinonate-5-phosphate,L-arabinonate-5-phosphate,L-arabinonate-5-phosphate,L-arabinonate-5-phosphate,
14,D-Xylonate-5-phosphate,D-xylonate-5-phosphate,D-xylonate-5-phosphate,D-xylonate-5-phosphate,
15,L-Xylonate-3-phosphate,L-xylonate-3-phosphate,L-xylonate-3-phosphate,L-xylonate-3-phosphate,
16,L-Xylonate-5-phosphate,L-xylonate-5-phosphate,L-xylonate-5-phosphate,L-xylonate-5-phosphate,
17,2-keto-3-deoxy-6-Phosphogluconate (KDPG),2-keto-3-deoxy-6-phospho-gluconate (KDPG),2-keto-3-deoxy-6-phospho-gluconate (KDPG),2-keto-3-deoxy-6-phospho-gluconate (KDPG),
