,Name,cid,sdf,Name_db,SMILES_db,cid_db,sdf_db
0,Glycolic Acid O-P,,,,,529,
1,Glycerol-3-phosphate,,,,,439183,
2,Glycerol-2-phospate,,,,,447550,
3,phosphoenolpyruvate,,,,,1005,
4,D-threonate-4-phosphate,,,,,11629889,
5,D-erythronate-4-phosphate,,,,,449304,
6,L-erythronate-4-phosphate,,,,,446947,
7,D-ribonate-5-phosphate,,,,,24832028,
8,D-arabinonate-5-phosphate,,,,,191445,
9,D-2-deoxy-ribonate-5-phosphate,,,,,129668258,
10,D-lyxonate-5-phosphate,,,,,46936563,
11,D-xylonate-3-phosphate,,,,,,G11.sdf
12,L-Ribonate-5-phosphate,,,,,49799769,
13,L-arabinonate-5-phosphate,,,,,126843503,
14,D-xylonate-5-phosphate,,,,,126843497,
15,L-xylonate-3-phosphate,,,,,,G15.sdf
16,L-xylonate-5-phosphate,,,,,92286299,
17,2-keto-3-deoxy-6-phospho-gluconate (KDPG),,,,,3080745,
18,D-galactonate-6-phosphate,,,,,22820300,
19,2'-deoxy-6-phosphogluconate,,,,,188314,
20,D-mannonate-6-phosphate,,,,,6326748,
21,D-allonate-6-phosphate,,,,,25322874,
22,D-3-deoxy-gluconate-6-phosphate,,,,,53931396,
23,D-altronate-6-phosphate,,,,,,G23.sdf
24,D-gluconate-3-phosphate,,,,,53917847,
25,D-allonate-3-phosphate,,,,,,G25.sdf
26,D-glucuronic acid-5-phosphate,,,,,,G26.sdf
27,D-glucurononate-5-phosphate,,,,,,G27.sdf
28,L-gluconate-3-phosphate,,,,,,G28.sdf
29,L-gulonic acid-2-methylene hydroxy phosphoric acid,,,,,,G29.sdf
30,2-deoxy-D-manno-2-octoulosonate-8-phosphate,,,,,4369556,
31,2-keto-3-deoxy-D-glycero-D-galactonononic acid 9-phosphate,,,,,90658186,
32,N-acetylneuraminic acid-9-phosphate,,,,,440962,
33,Glycerol-phosphate,,,,,439276,
34,meso-erythritol-4-phosphate,,,,,192838,
35,D-threitol-4-phosphate,,,,,440028,
36,D-ribitol-5-phosphate,,,,,151104,
37,D-xylitol-5-phosphate,,,,,6420179,
38,D-2-deoxy-ribitol-5-phosphate,,,,,5288577,
39,D-arabitol-5-phosphate,,,,,5287584,
40,D-xylitol-3-phosphate,,,,,129710438,
41,L-Ribitol-5-phosphate,,,,,23615570,
42,L-arabitol-5-phosphate,,,,,16126798,
43,L-arabitol-1-phosphate,,,,,,G43.sdf
44,L-xylitol-3-phosphate,,,,,,G44.sdf
45,L-xylitol-5-phosphate,,,,,448027,
46,L-lyxitol-5-phosphate,,,,,,G46.sdf
47,D-arabitol-1-phosphate,,,,,439840,
48,D-arabitol-4-phosphate,,,,,140436183,
49,2'-deoxy-6-phosphoglucitol,,,,,49866901,
50,D-sorbitol-1-phosphate,,,,,21968234,
51,D-mannitol-6-phosphate,,,,,130418,G51.sdf
52,D-allitol-6-phosphate,,,,,92209470,
53,D-galactitol-6-phosphate,,,,,53827506,
54,D-3'-deoxy-sorbitol-6-phosphate,,,,,,G54.sdf
55,D-iditol-6-phosphate,,,,,14620017,
56,D-glucitol-3-phosphate,,,,,129544,
57,D-allitol-3-phosphate,,,,,,G57.sdf
58,D-mannitol-2-phosphate,,,,,145809584,
59,D-glucuronicitol-5-phosphate,,,,,,G59.sdf
60,D-glucitol-2-phosphate,,,,,,G60.sdf
61,L-glucitol-3-phosphate,,,,,,G61.sdf
62,D-galactitol-1-phosphate,,,,,440969,
63,D-galactitol-5-phosphate,,,,,,G63.sdf
64,D-mannitol-1-phosphate,,,,,130418,
65,D-mannitol-4-phosphate,,,,,118914556,
66,D-mannitol-5-phosphate,,,,,,G66.sdf
67,DL-glyceraldehyde-3-phosphate,,,,,439168,
68,D-erythrose-4-phosphate,,,,,122357,
69,D-arabinose-5-phosphate,,,,,188324,
70,D-ribose-5-phosphate,,,,,440101,
71,2'-deoxyribose-5-phosphate,,,,,45934311,
72,D-xylose-3-phosphate,,,,,,G72.sdf
73,L-Ribose-5-phosphate,,,,,88507863,
74,L-arabinose-5-phosphate,,,,,53393537,
75,D-xylose-5-phosphate,,,,,441187,
76,L-xylose-3-phosphate,,,,,,G76.sdf
77,L-xylose-5-phosphate,,,,,44588263,
78,D-lyxose-5-phosphate,,,,,6101623,
79,L-lyxose-5-phosphate,,,,,88508108,
80,α-D-glucose-1-phosphate,,,,,65533,
81,D-glucose-6-phosphate,,,,,439284,
82,2'-deoxy-D-glucose-6-phosphate,,,,,46936435,
83,α-D-galactose-1-phosphate,,,,,123912,
84,α-mannose-1-phosphate,,,,,439279,
85,D-mannose-6-phosphate,,,,,447096,
86,6'-phosphogluconic acid,,,,,91493,
87,D-galactose-6-phosphate,,,,,9859975,
88,D-allose-6-phosphate,,,,,5459942,
89,D-2'-keto-glucose-6-phosphate,,,,,,G89.sdf
90,D-3'-deoxy-glucose-6-phosphate,,,,,22880771,
91,D-glucose-3-phosphate,,,,,,G91.sdf
92,D-allose-3-phosphate,,,,,,G92.sdf
93,D-mannose-2-phosphate,,,,,20839100,
94,L-glucose-3-phosphate,,,,,,G94.sdf
95,O-phosphoethanolamine,,,,,1015,
96,phosphocholine,,,,,1014,
97,O-phospho-L-serine,,,,,68841,
98,O-phospho-L-threonine,,,,,3246323,
99,O-phospho-L-tyrosine,,,,,30819,
100,histidinol-phosphate,,,,,439398,
101,Glucosamine-6'-phosphate,,,,,439217,
102,a-D-glucosamine-1-phosphate,,,,,9965052,
103,N-acetyl-mannosamine-6-phosphate,,,,,101265229,
104,Pyrophosphate,,,,,1023,
105,imidodiphosphate (PNP),,,,,122874,
106,Thiamine-pyrophosphate,,,,,1132,
107,ATP,,,,,5957,
108,ADP,,,,,6022,
109,UTP,,,,,6133,
110,UDP,,,,,6031,
111,TTP,,,,,451388,
112,TDP,,,,,164628,
113,CTP,,,,,6176,
114,CDP,,,,,6132,
115,GTP,,,,,135398633,G115.sdf
116,GDP,,,,,135398619,G116.sdf
117,ITP,,,,,135398643,G117.sdf
118,IDP,,,,,135398651,G118.sdf
119,dATP,,,,,15993,
120,dCTP,,,,,65091,
121,dGTP,,,,,135398599,G121.sdf
122,dTTP,,,,,64968,
