index_enzyme,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,0.0,0.0,11.588,0.0,0.0,0.0,7.854,2.641,0.0,5.929,2.491,0.901,8.471,2.905,0.0,0.0,0.0,3.242,0.0
1,0.096,1.553,0.192,12.548,1.268,0.0,0.0,0.076,4.123,0.031,3.015,0.0,0.0,6.334,6.145,6.12,6.971,2.791,0.0,4.383
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.0,0.0,0.0,0.0,0.0,2.668,0.0,0.0,0.215,2.545,0.0
3,0.0,0.0,0.0,3.695,0.0,0.0,0.0,0.652,1.648,0.0,2.485,2.161,0.0,2.174,2.052,0.0,0.0,1.178,4.099,0.0
4,0.14,0.652,0.084,4.152,0.14,0.0,0.122,0.836,4.346,0.115,6.738,5.745,1.687,4.219,5.151,0.0,0.0,2.564,6.724,0.0
5,0.0,1.515,0.0,11.118,0.582,2.235,0.0,7.974,5.236,0.0,6.259,5.834,6.73,7.165,6.817,0.0,0.0,2.272,4.71,0.0
6,0.099,0.848,0.0,10.718,0.0,1.258,0.0,0.0,4.675,0.0,5.459,4.33,0.0,5.544,5.348,4.593,0.0,2.407,6.182,0.163
7,0.193,0.0,0.0,0.229,0.147,0.0,0.0,0.0,2.229,0.0,0.666,0.0,0.0,5.003,0.07,0.0,0.0,0.0,1.754,0.0
8,0.0,0.054,0.0,2.286,0.061,0.096,0.0,0.0,3.728,0.0,5.88,0.484,0.0,0.027,6.393,0.0,0.0,0.202,5.497,0.0
9,0.0,0.0,0.0,5.153,0.0,0.725,0.0,0.716,3.998,0.0,4.532,4.363,0.21,0.178,4.16,0.0,0.0,1.1,6.236,0.0
10,0.0,0.0,0.0,7.609,0.092,0.0,0.0,2.87,0.54,0.0,3.014,3.793,1.081,3.07,1.639,0.0,0.0,0.433,3.985,0.0
11,1.054,1.99,0.845,12.631,0.313,4.58,0.0,8.183,5.641,0.0,5.451,8.235,4.831,10.403,7.807,0.0,0.0,2.902,6.44,0.0
